id,sexo,edad,nivel_esc,esc_cve,lenguaje,cognitivas,sociales,tecnicas,puesto,trabajos_n,palabras_n,validaciones_n,contactos_n,rimbo_n,sostenimiento,experiencia,atractivo,confiable
6212,1,30,2,3145,1,0,0,0,4,4,10,0,62,0,1,0,1,0
6213,2,30,2,3145,0,0,0,0,4,7,17,1,83,0,1,0,5,1
6214,2,29,1,2020,1,6,9,2,4,12,175,134,500,0,1,1,5,1
6215,1,35,1,2829,0,4,0,5,4,10,63,0,146,0,1,0,4,1
6216,2,32,1,3145,1,8,8,3,4,17,156,14,124,0,1,0,2,0
6217,2,34,1,3145,1,2,0,6,4,9,130,38,500,0,1,0,2,0
6218,2,30,1,3145,1,1,0,0,4,10,189,9,500,0,1,1,3,0
6219,2,31,2,3145,1,7,6,3,4,14,242,115,268,1,1,1,4,1
6220,2,34,1,3145,1,16,3,4,4,12,319,14,15,2,1,1,5,1
6221,2,31,2,3145,1,0,0,0,4,0,30,0,104,0,1,0,2,0
6222,1,32,2,2020,1,6,6,1,4,10,305,73,479,1,1,1,4,1
6224,2,36,2,2020,1,0,4,2,4,20,178,132,257,0,1,0,2,0
6225,2,34,2,2020,1,7,1,0,4,15,111,48,500,0,1,0,3,1
6226,2,30,2,2020,1,0,5,2,2,11,239,64,220,0,1,0,2,0
6227,1,34,1,2020,1,3,5,0,4,7,146,63,118,1,1,1,4,1
6228,1,34,1,2020,1,2,1,0,1,13,86,59,343,0,1,0,2,1
6229,2,36,2,2020,1,9,3,2,3,10,407,0,500,1,1,1,4,1
6230,1,32,2,2020,1,9,5,4,4,9,425,0,307,0,1,0,2,0
6231,2,36,2,2020,1,2,4,1,2,11,92,12,356,0,1,0,3,1
6232,2,32,1,2020,1,14,11,4,4,8,426,136,500,4,1,1,5,1
6233,2,35,1,2020,1,2,3,0,4,5,144,8,296,0,1,1,3,1
6234,2,34,2,2020,1,0,1,1,4,8,41,0,440,0,1,1,3,1
6235,2,31,1,2020,1,5,4,0,3,10,51,0,125,3,1,1,5,1
6236,1,31,2,2020,0,4,8,1,4,14,235,26,254,1,1,1,3,1
6237,2,30,2,2020,1,0,1,1,2,11,34,2,500,0,1,0,3,0
6238,1,36,1,783,1,11,4,2,4,9,407,27,110,1,0,1,3,1
6239,2,32,1,1635,1,9,5,0,4,10,140,126,248,0,0,0,3,0
6240,2,36,1,811,1,4,7,1,4,9,173,8,60,0,1,0,3,0
6241,2,30,2,811,1,0,11,3,4,10,280,21,47,0,1,1,3,1
6242,1,32,2,811,1,3,7,2,4,8,26,0,318,0,1,0,4,1
6243,2,36,1,811,1,0,1,0,4,2,137,44,200,0,1,0,3,1
6244,2,33,2,811,1,0,8,4,4,13,182,32,260,0,1,0,3,1
6245,1,36,2,811,1,3,4,0,4,7,119,0,204,0,1,1,3,0
6246,1,31,2,811,1,5,11,4,4,8,283,0,194,0,1,0,3,1
6247,2,35,1,811,1,0,5,2,4,8,121,24,500,0,1,1,5,1
6248,1,33,1,811,1,0,3,2,4,10,55,6,74,0,1,0,4,1
6249,1,31,2,811,1,2,2,3,2,7,116,48,133,0,1,0,5,1
6250,2,30,2,811,1,3,0,3,4,10,113,10,199,0,1,1,3,1
6251,2,34,2,811,1,6,7,2,4,9,129,54,398,1,1,1,3,0
6252,2,31,1,811,1,7,4,1,3,9,184,285,252,0,1,0,3,1
6253,2,32,1,811,1,8,10,3,4,14,253,12,500,3,1,0,2,0
6254,2,34,1,811,1,1,2,0,2,9,114,35,500,0,1,0,4,1
6255,2,32,1,811,1,4,1,3,4,8,97,75,498,0,1,0,4,1
6256,2,34,2,2829,1,3,5,1,2,18,107,40,500,0,1,0,4,1
6258,1,38,2,2829,1,0,0,0,2,16,65,13,209,0,1,1,4,1
6259,2,35,2,2829,1,12,15,3,1,10,203,226,495,4,1,0,5,1
6260,2,33,2,2829,1,3,3,1,3,9,41,6,345,0,1,0,2,0
6261,2,32,2,2829,1,3,5,2,4,9,50,18,336,0,1,0,5,1
6262,2,31,1,2829,1,5,6,0,4,5,177,0,232,0,1,0,4,1
6263,2,35,1,2829,1,10,6,1,4,5,182,817,500,0,1,0,4,1
6264,1,34,2,2829,1,3,1,0,3,11,59,12,500,0,1,0,3,1
6265,2,35,2,2829,1,10,7,3,3,13,153,309,191,0,1,1,3,0
6266,2,34,1,2829,1,0,6,0,4,5,39,1,500,0,1,1,3,0
6267,2,35,1,2829,1,7,3,1,2,9,125,106,500,0,1,0,4,1
6268,1,32,2,2829,1,2,3,0,2,16,202,48,500,0,1,0,4,1
6269,2,34,1,712,1,1,7,1,1,8,162,120,419,0,1,0,5,1
6270,2,35,2,590,1,0,0,1,1,4,104,0,232,0,0,0,1,0
6271,2,34,2,2810,1,7,5,0,4,6,166,0,47,0,0,1,3,1
6272,1,34,2,2810,1,2,5,3,4,14,189,80,173,1,0,1,2,0
6273,1,32,2,2810,1,5,2,1,4,4,106,6,222,0,0,0,1,0
6274,1,29,1,2810,1,2,2,0,4,12,14,0,153,1,0,0,1,0
6275,2,33,2,2810,1,2,4,1,2,10,81,24,314,0,0,0,5,1
6276,2,30,2,2810,1,2,0,0,3,5,18,0,299,0,0,0,3,1
